"","date","approval","who"
"1","2/4/04",53,"fox"
"2","1/21/04",53,"fox"
"3","1/7/04",58,"fox"
"4","12/3/03",52,"fox"
"5","11/18/03",52,"fox"
"6","10/28/03",53,"fox"
"7","10/14/03",52,"fox"
"8","9/23/03",50,"fox"
"9","9/9/03",58,"fox"
"10","8/12/03",57,"fox"
"11","7/29/03",59,"fox"
"12","7/15/03",59,"fox"
"13","6/30/1/03",60,"fox"
"14","6/17/03",65,"fox"
"15","6/3/03",66,"fox"
"16","5/20/03",64,"fox"
"17","5/6/03",65,"fox"
"18","4/22/03",65,"fox"
"19","4/8/03",71,"fox"
"20","3/25/03",66,"fox"
"21","3/11/03",60,"fox"
"22","2/25/03",55,"fox"
"23","2/11/03",57,"fox"
"24","1/29/03",59,"fox"
"25","1/14/03",63,"fox"
"26","12/17/02",65,"fox"
"27","12/3/02",65,"fox"
"28","11/19/02",68,"fox"
"29","10/22/02",60,"fox"
"30","10/8/02",66,"fox"
"31","9/24/02",65,"fox"
"32","9/8/02",66,"fox"
"33","8/6/02",69,"fox"
"34","7/23/02",69,"fox"
"35","7/9/02",70,"fox"
"36","6/18/02",73,"fox"
"37","6/4/02",74,"fox"
"38","5/14/02",77,"fox"
"39","4/30/1/02",72,"fox"
"40","4/16/02",76,"fox"
"41","4/2/02",79,"fox"
"42","3/12/02",80,"fox"
"43","2/26/02",77,"fox"
"44","2/12/02",81,"fox"
"45","1/30/02",81,"fox"
"46","1/9/02",83,"fox"
"47","12/12/01",86,"fox"
"48","11/28/01",86,"fox"
"49","11/14/01",88,"fox"
"50","10/31/01",84,"fox"
"51","10/17/01",84,"fox"
"52","10/3/01",80,"fox"
"53","9/19/01",81,"fox"
"54","8/22/01",55,"fox"
"55","7/25/01",59,"fox"
"56","7/11/01",56,"fox"
"57","6/6/01",59,"fox"
"58","5/9/01",59,"fox"
"59","4/18/01",63,"fox"
"60","3/28/01",57,"fox"
"61","3/14/01",56,"fox"
"62","2/21/01",61,"fox"
"63","2/7/01",55,"fox"
"64","1/24/01",46,"fox"
"65","1/29/04",49,"gallup"
"66","1/12/04",53,"gallup"
"67","1/9/04",59,"gallup"
"68","1/2/04",60,"gallup"
"69","12/15/03",63,"gallup"
"70","12/11/03",56,"gallup"
"71","12/5/03",55,"gallup"
"72","11/14/03",50,"gallup"
"73","11/10/03",51,"gallup"
"74","11/3/03",54,"gallup"
"75","10/24/03",53,"gallup"
"76","10/10/03",56,"gallup"
"77","10/6/03",55,"gallup"
"78","9/19/03",50,"gallup"
"79","9/8/03",52,"gallup"
"80","8/25/03",59,"gallup"
"81","8/4/03",60,"gallup"
"82","7/25/03",58,"gallup"
"83","7/18/03",59,"gallup"
"84","7/7/03",62,"gallup"
"85","6/27/03",61,"gallup"
"86","6/12/03",63,"gallup"
"87","6/9/03",62,"gallup"
"88","5/30/1/03",64,"gallup"
"89","5/19/03",66,"gallup"
"90","5/5/03",69,"gallup"
"91","4/22/03",70,"gallup"
"92","4/14/03",71,"gallup"
"93","4/7/03",69,"gallup"
"94","4/5/03",70,"gallup"
"95","3/29/03",71,"gallup"
"96","3/24/03",69,"gallup"
"97","3/22/03",71,"gallup"
"98","3/14/03",58,"gallup"
"99","3/3/03",57,"gallup"
"100","2/24/03",57,"gallup"
"101","2/17/03",58,"gallup"
"102","2/7/03",61,"gallup"
"103","2/3/03",59,"gallup"
"104","1/31/03",61,"gallup"
"105","1/23/03",60,"gallup"
"106","1/20/03",58,"gallup"
"107","1/13/03",61,"gallup"
"108","1/10/03",58,"gallup"
"109","1/3/03",63,"gallup"
"110","12/19/02",61,"gallup"
"111","12/16/02",63,"gallup"
"112","12/9/02",63,"gallup"
"113","12/5/02",64,"gallup"
"114","11/22/02",65,"gallup"
"115","11/11/02",66,"gallup"
"116","11/8/02",68,"gallup"
"117","10/31/02",63,"gallup"
"118","10/21/02",67,"gallup"
"119","10/14/02",62,"gallup"
"120","10/3/02",67,"gallup"
"121","9/23/02",68,"gallup"
"122","9/20/02",66,"gallup"
"123","9/13/02",70,"gallup"
"124","9/5/02",66,"gallup"
"125","9/2/02",66,"gallup"
"126","8/19/02",65,"gallup"
"127","8/5/02",68,"gallup"
"128","7/29/02",71,"gallup"
"129","7/26/02",69,"gallup"
"130","7/22/02",69,"gallup"
"131","7/9/02",73,"gallup"
"132","6/28/02",76,"gallup"
"133","6/21/02",73,"gallup"
"134","6/17/02",74,"gallup"
"135","6/7/02",74,"gallup"
"136","6/3/02",70,"gallup"
"137","5/28/02",77,"gallup"
"138","5/20/02",76,"gallup"
"139","5/6/02",76,"gallup"
"140","4/29/02",77,"gallup"
"141","4/22/02",77,"gallup"
"142","4/8/02",75,"gallup"
"143","4/5/02",76,"gallup"
"144","3/22/02",79,"gallup"
"145","3/8/02",80,"gallup"
"146","3/4/02",77,"gallup"
"147","3/1/02",81,"gallup"
"148","2/8/02",82,"gallup"
"149","2/4/02",82,"gallup"
"150","1/25/02",84,"gallup"
"151","1/11/02",83,"gallup"
"152","1/7/02",84,"gallup"
"153","12/14/01",86,"gallup"
"154","12/6/01",86,"gallup"
"155","11/26/01",87,"gallup"
"156","11/8/01",87,"gallup"
"157","11/2/01",87,"gallup"
"158","10/19/01",88,"gallup"
"159","10/11/01",89,"gallup"
"160","10/5/01",87,"gallup"
"161","9/21/01",90,"gallup"
"162","9/14/01",86,"gallup"
"163","9/7/01",51,"gallup"
"164","8/24/01",55,"gallup"
"165","8/16/01",57,"gallup"
"166","8/10/01",57,"gallup"
"167","8/3/01",55,"gallup"
"168","7/19/01",56,"gallup"
"169","7/10/01",57,"gallup"
"170","6/28/01",52,"gallup"
"171","6/11/01",55,"gallup"
"172","6/8/01",55,"gallup"
"173","5/18/01",56,"gallup"
"174","5/10/01",56,"gallup"
"175","5/7/01",53,"gallup"
"176","4/20/01",62,"gallup"
"177","4/6/01",59,"gallup"
"178","3/26/01",53,"gallup"
"179","3/9/01",58,"gallup"
"180","3/5/01",63,"gallup"
"181","2/19/01",62,"gallup"
"182","2/9/01",57,"gallup"
"183","2/1/01",57,"gallup"
"184","2/5/04",48,"newsweek"
"185","1/29/04",49,"newsweek"
"186","1/22/04",50,"newsweek"
"187","1/8/04",54,"newsweek"
"188","12/18/03",54,"newsweek"
"189","12/11/03",51,"newsweek"
"190","11/6/03",52,"newsweek"
"191","10/23/03",51,"newsweek"
"192","10/9/03",51,"newsweek"
"193","9/25/03",52,"newsweek"
"194","9/18/03",51,"newsweek"
"195","9/11/03",52,"newsweek"
"196","8/21/03",53,"newsweek"
"197","7/24/03",57,"newsweek"
"198","7/10/03",55,"newsweek"
"199","5/29/03",61,"newsweek"
"200","5/1/03",65,"newsweek"
"201","4/10/03",71,"newsweek"
"202","3/27/03",68,"newsweek"
"203","3/13/03",53,"newsweek"
"204","2/6/03",61,"newsweek"
"205","1/23/03",55,"newsweek"
"206","1/16/03",56,"newsweek"
"207","11/7/02",60,"newsweek"
"208","10/24/02",61,"newsweek"
"209","10/10/02",61,"newsweek"
"210","9/26/02",65,"newsweek"
"211","9/12/02",70,"newsweek"
"212","8/28/02",61,"newsweek"
"213","7/18/02",65,"newsweek"
"214","7/11/02",68,"newsweek"
"215","6/27/02",70,"newsweek"
"216","5/16/02",73,"newsweek"
"217","4/25/02",71,"newsweek"
"218","3/21/02",74,"newsweek"
"219","1/31/02",83,"newsweek"
"220","12/13/01",81,"newsweek"
"221","12/6/01",82,"newsweek"
"222","11/29/01",85,"newsweek"
"223","11/15/01",85,"newsweek"
"224","11/8/01",85,"newsweek"
"225","11/1/01",85,"newsweek"
"226","10/25/01",85,"newsweek"
"227","10/18/01",88,"newsweek"
"228","10/11/01",88,"newsweek"
"229","10/4/01",84,"newsweek"
"230","9/27/01",86,"newsweek"
"231","9/20/01",86,"newsweek"
"232","9/13/01",82,"newsweek"
"233","5/10/01",50,"newsweek"
"234","5/3/01",57,"newsweek"
"235","4/12/01",57,"newsweek"
"236","3/15/01",55,"newsweek"
"237","2/15/01",56,"newsweek"
"238","2/8/01",52,"newsweek"
"239","2/5/04",54,"time.cnn"
"240","1/14/04",54,"time.cnn"
"241","12/30/03",54,"time.cnn"
"242","11/18/03",52,"time.cnn"
"243","9/3/03",52,"time.cnn"
"244","7/16/03",55,"time.cnn"
"245","5/21/03",63,"time.cnn"
"246","3/27/03",62,"time.cnn"
"247","2/19/03",54,"time.cnn"
"248","2/6/03",62,"time.cnn"
"249","1/15/03",53,"time.cnn"
"250","12/17/02",55,"time.cnn"
"251","11/13/02",64,"time.cnn"
"252","10/23/02",61,"time.cnn"
"253","8/28/02",65,"time.cnn"
"254","7/10/02",70,"time.cnn"
"255","6/19/02",70,"time.cnn"
"256","5/22/02",72,"time.cnn"
"257","4/10/02",75,"time.cnn"
"258","3/13/02",75,"time.cnn"
"259","1/23/02",77,"time.cnn"
"260","12/19/01",82,"time.cnn"
"261","11/7/01",87,"time.cnn"
"262","10/12/01",89,"time.cnn"
"263","9/27/01",84,"time.cnn"
"264","9/13/01",78,"time.cnn"
"265","7/17/01",55,"time.cnn"
"266","5/23/01",52,"time.cnn"
"267","3/21/01",55,"time.cnn"
"268","2/7/01",52,"time.cnn"
"269","2/1/04",56,"upenn"
"270","1/26/04",54,"upenn"
"271","1/21/04",64,"upenn"
"272","1/16/04",59,"upenn"
"273","1/1/04",60,"upenn"
"274","12/16/03",63,"upenn"
"275","12/1/03",59,"upenn"
"276","11/16/03",57,"upenn"
"277","1/1/03",55,"upenn"
"278","10/7/03",58,"upenn"
"279","1/15/04",49,"zogby"
"280","12/15/03",53,"zogby"
"281","12/4/03",49,"zogby"
"282","11/3/03",48,"zogby"
"283","10/15/03",49,"zogby"
"284","9/22/03",50,"zogby"
"285","9/3/03",45,"zogby"
"286","8/16/03",52,"zogby"
"287","7/16/03",53,"zogby"
"288","6/6/03",58,"zogby"
"289","4/8/03",61,"zogby"
"290","3/24/03",57,"zogby"
"291","3/14/03",54,"zogby"
"292","3/5/03",54,"zogby"
"293","2/19/03",57,"zogby"
"294","2/6/03",62,"zogby"
"295","1/24/03",57,"zogby"
"296","1/4/03",63,"zogby"
"297","10/26/02",64,"zogby"
"298","9/25/02",63,"zogby"
"299","7/19/02",63,"zogby"
"300","7/12/02",62,"zogby"
"301","6/17/02",69,"zogby"
"302","6/7/02",69,"zogby"
"303","5/28/02",70,"zogby"
"304","4/19/02",69,"zogby"
"305","3/25/02",74,"zogby"
"306","3/1/02",74,"zogby"
"307","1/29/02",74,"zogby"
"308","1/21/02",77,"zogby"
"309","1/14/02",79,"zogby"
"310","1/7/02",78,"zogby"
"311","1/2/02",80,"zogby"
"312","12/17/01",81,"zogby"
"313","12/10/01",82,"zogby"
"314","12/3/01",81,"zogby"
"315","10/23/01",78,"zogby"
"316","9/14/01",82,"zogby"
"317","8/28/01",50,"zogby"
"318","7/26/01",47,"zogby"
"319","6/24/01",51,"zogby"
"320","4/23/01",52,"zogby"
"321","3/27/01",52,"zogby"
"322","2/27/01",53,"zogby"
"323","2/9/01",57,"zogby"
