"","year","value"
"1",2003,0.01
"2",2003,0.25
"3",2003,0.25
"4",2002,0.01
"5",2002,0.01
"6",2002,0.25
"7",2002,0.01
"8",2002,0.01
"9",2002,0.01
"10",2002,0.01
"11",2002,0.1
"12",2002,0.01
"13",2002,0.01
"14",2002,0.05
"15",2002,0.01
"16",2002,0.1
"17",2002,0.01
"18",2002,0.05
"19",2002,0.1
"20",2002,0.25
"21",2002,0.01
"22",2002,0.05
"23",2002,0.01
"24",2002,0.1
"25",2002,0.01
"26",2002,0.01
"27",2002,0.01
"28",2002,0.01
"29",2002,0.01
"30",2002,0.01
"31",2002,0.1
"32",2002,0.01
"33",2002,0.25
"34",2001,0.01
"35",2001,0.05
"36",2001,0.25
"37",2001,0.01
"38",2001,0.25
"39",2001,0.01
"40",2001,0.01
"41",2001,0.01
"42",2001,0.01
"43",2001,0.01
"44",2001,0.25
"45",2001,0.01
"46",2001,0.05
"47",2001,0.01
"48",2001,0.05
"49",2001,0.01
"50",2001,0.01
"51",2001,0.25
"52",2001,0.25
"53",2001,0.25
"54",2001,0.05
"55",2001,0.01
"56",2001,0.05
"57",2001,0.25
"58",2001,0.01
"59",2000,0.01
"60",2000,0.25
"61",2000,0.05
"62",2000,0.25
"63",2000,0.01
"64",2000,0.01
"65",2000,0.01
"66",2000,0.25
"67",2000,0.01
"68",2000,0.01
"69",2000,0.1
"70",2000,0.01
"71",2000,0.1
"72",2000,0.05
"73",2000,0.05
"74",2000,0.01
"75",2000,0.25
"76",2000,0.01
"77",2000,0.01
"78",2000,0.1
"79",2000,0.01
"80",2000,0.25
"81",2000,0.01
"82",2000,0.25
"83",2000,0.01
"84",2000,0.25
"85",2000,0.05
"86",2000,0.01
"87",2000,0.01
"88",2000,0.25
"89",1999,0.05
"90",1999,0.01
"91",1999,0.01
"92",1999,0.1
"93",1999,0.01
"94",1999,0.01
"95",1999,0.1
"96",1999,0.01
"97",1999,0.1
"98",1999,0.01
"99",1999,0.01
"100",1999,0.1
"101",1999,0.25
"102",1999,0.01
"103",1999,0.01
"104",1999,0.01
"105",1999,0.01
"106",1999,0.01
"107",1999,0.01
"108",1999,0.05
"109",1999,0.1
"110",1999,0.1
"111",1999,0.01
"112",1999,0.01
"113",1999,0.01
"114",1998,0.25
"115",1998,0.01
"116",1998,0.25
"117",1998,0.01
"118",1998,0.05
"119",1998,0.01
"120",1998,0.25
"121",1998,0.25
"122",1998,0.01
"123",1998,0.25
"124",1998,0.01
"125",1997,0.01
"126",1997,0.25
"127",1997,0.25
"128",1997,0.05
"129",1997,0.25
"130",1997,0.01
"131",1997,0.01
"132",1997,0.05
"133",1997,0.1
"134",1997,0.01
"135",1997,0.01
"136",1997,0.01
"137",1996,0.25
"138",1996,0.25
"139",1996,0.05
"140",1996,0.01
"141",1996,0.01
"142",1996,0.01
"143",1996,0.25
"144",1996,0.25
"145",1996,0.01
"146",1996,0.01
"147",1996,0.05
"148",1996,0.01
"149",1996,0.05
"150",1996,0.01
"151",1995,0.05
"152",1995,0.1
"153",1995,0.1
"154",1995,0.1
"155",1995,0.01
"156",1995,0.01
"157",1995,0.25
"158",1995,0.01
"159",1995,0.05
"160",1995,0.25
"161",1995,0.01
"162",1995,0.01
"163",1995,0.01
"164",1994,0.1
"165",1994,0.01
"166",1994,0.01
"167",1994,0.1
"168",1994,0.25
"169",1994,0.05
"170",1994,0.01
"171",1994,0.01
"172",1994,0.01
"173",1994,0.01
"174",1994,0.01
"175",1993,0.1
"176",1993,0.01
"177",1993,0.01
"178",1993,0.01
"179",1993,0.05
"180",1993,0.05
"181",1993,0.01
"182",1993,0.01
"183",1993,0.01
"184",1993,0.25
"185",1993,0.05
"186",1993,0.25
"187",1993,0.01
"188",1993,0.01
"189",1992,0.01
"190",1992,0.25
"191",1992,0.25
"192",1992,0.25
"193",1992,0.01
"194",1992,0.01
"195",1992,0.01
"196",1992,0.25
"197",1992,0.01
"198",1992,0.25
"199",1992,0.01
"200",1992,0.25
"201",1991,0.25
"202",1991,0.05
"203",1991,0.1
"204",1991,0.01
"205",1991,0.01
"206",1990,0.01
"207",1990,0.01
"208",1990,0.25
"209",1990,0.1
"210",1990,0.25
"211",1990,0.05
"212",1990,0.01
"213",1990,0.05
"214",1990,0.05
"215",1989,0.1
"216",1989,0.25
"217",1989,0.1
"218",1989,0.01
"219",1989,0.01
"220",1989,0.01
"221",1989,0.1
"222",1989,0.25
"223",1989,0.01
"224",1988,0.05
"225",1988,0.01
"226",1988,0.01
"227",1988,0.05
"228",1988,0.01
"229",1988,0.01
"230",1988,0.01
"231",1988,0.1
"232",1988,0.01
"233",1988,0.01
"234",1988,0.25
"235",1988,0.1
"236",1988,0.25
"237",1988,0.05
"238",1987,0.01
"239",1987,0.01
"240",1987,0.01
"241",1987,0.01
"242",1987,0.01
"243",1987,0.01
"244",1987,0.1
"245",1987,0.01
"246",1987,0.05
"247",1986,0.01
"248",1986,0.1
"249",1986,0.25
"250",1986,0.01
"251",1986,0.01
"252",1985,0.05
"253",1985,0.01
"254",1985,0.25
"255",1985,0.05
"256",1985,0.01
"257",1985,0.1
"258",1985,0.05
"259",1985,0.05
"260",1984,0.01
"261",1984,0.05
"262",1984,0.01
"263",1984,0.05
"264",1984,0.01
"265",1984,0.01
"266",1984,0.01
"267",1984,0.01
"268",1984,0.01
"269",1984,0.05
"270",1984,0.25
"271",1983,0.05
"272",1983,0.01
"273",1983,0.01
"274",1983,0.01
"275",1983,0.01
"276",1983,0.01
"277",1983,0.01
"278",1983,0.1
"279",1983,0.05
"280",1983,0.01
"281",1983,0.05
"282",1982,0.01
"283",1982,0.05
"284",1982,0.01
"285",1982,0.01
"286",1982,0.01
"287",1982,0.01
"288",1982,0.1
"289",1982,0.01
"290",1982,0.25
"291",1982,0.1
"292",1982,0.01
"293",1982,0.01
"294",1982,0.01
"295",1981,0.01
"296",1981,0.1
"297",1981,0.05
"298",1981,0.01
"299",1981,0.01
"300",1981,0.01
"301",1981,0.1
"302",1981,0.01
"303",1981,0.01
"304",1981,0.01
"305",1980,0.05
"306",1980,0.01
"307",1979,0.01
"308",1979,0.05
"309",1978,0.05
"310",1978,0.01
"311",1978,0.01
"312",1978,0.01
"313",1978,0.01
"314",1978,0.01
"315",1977,0.01
"316",1977,0.01
"317",1977,0.01
"318",1977,0.05
"319",1977,0.01
"320",1977,0.05
"321",1977,0.25
"322",1976,0.01
"323",1976,0.25
"324",1976,0.01
"325",1976,0.05
"326",1975,0.01
"327",1975,0.01
"328",1975,0.01
"329",1975,0.25
"330",1975,0.25
"331",1975,0.05
"332",1975,0.25
"333",1975,0.25
"334",1975,0.01
"335",1974,0.01
"336",1974,0.1
"337",1974,0.05
"338",1973,0.01
"339",1972,0.25
"340",1972,0.01
"341",1972,0.01
"342",1971,0.25
"343",1971,0.01
"344",1971,0.01
"345",1971,0.1
"346",1971,0.01
"347",1971,0.1
"348",1970,0.25
"349",1970,0.25
"350",1970,0.01
"351",1970,0.05
"352",1969,0.01
"353",1969,0.1
"354",1969,0.01
"355",1968,0.01
"356",1968,0.25
"357",1967,0.05
"358",1966,0.01
"359",1966,0.05
"360",1965,0.05
"361",1965,0.01
"362",1965,0.01
"363",1964,0.01
"364",1960,0.01
"365",1959,0.01
"366",1955,0.25
"367",1939,0.1
"368",1936,0.1
"369",1929,0.01
"370",1929,0.01
"371",1929,0.05
