"","income","race"
"1",30930,"white"
"2",20924,"white"
"3",11104,"black"
"4",20924,"hispanic"
"5",16009,"white"
"6",16009,"hispanic"
"7",20924,"white"
"8",18598,"white"
"9",23687,"white"
"10",8653,"white"
"11",75810,"white"
"12",23687,"hispanic"
"13",8653,"white"
"14",43596,"white"
"15",11104,"white"
"16",6214,"hispanic"
"17",28565,"hispanic"
"18",6214,"white"
"19",38570,"white"
"20",11104,"white"
"21",311,"white"
"22",16009,"white"
"23",6214,"white"
"24",70844,"hispanic"
"25",13619,"white"
"26",8653,"black"
"27",75810,"white"
"28",3733,"white"
"29",23687,"white"
"30",35858,"white"
"31",3733,"white"
"32",311,"white"
"33",311,"white"
"34",16009,"black"
"35",20924,"hispanic"
"36",25901,"white"
"37",23687,"white"
"38",3733,"hispanic"
"39",13619,"white"
"40",33640,"white"
"41",20924,"white"
"42",13619,"white"
"43",45822,"white"
"44",20924,"black"
"45",13619,"white"
"46",311,"white"
"47",20924,"black"
"48",11104,"white"
"49",311,"white"
"50",48655,"white"
"51",40883,"white"
"52",28565,"white"
"53",48655,"black"
"54",311,"white"
"55",70844,"white"
"56",3733,"white"
"57",40883,"white"
"58",35858,"white"
"59",25901,"white"
"60",6214,"white"
"61",25901,"white"
"62",11104,"black"
"63",53654,"white"
"64",13619,"white"
"65",30930,"white"
"66",35858,"white"
"67",311,"white"
"68",40883,"white"
"69",48655,"white"
"70",18598,"white"
"71",18598,"white"
"72",35858,"black"
"73",3733,"white"
"74",60746,"white"
"75",16009,"white"
"76",311,"white"
"77",311,"white"
"78",11104,"white"
"79",8653,"black"
"80",33640,"white"
"81",311,"hispanic"
"82",311,"white"
"83",6214,"white"
"84",311,"hispanic"
"85",311,"hispanic"
"86",16009,"white"
"87",13619,"white"
"88",311,"hispanic"
"89",311,"white"
"90",30930,"white"
"91",8653,"white"
"92",20924,"white"
"93",8653,"hispanic"
"94",311,"white"
"95",311,"white"
"96",25901,"white"
"97",20924,"white"
"98",311,"white"
"99",6214,"black"
"100",311,"black"
"101",311,"white"
"102",11104,"white"
"103",16009,"white"
"104",50825,"white"
"105",311,"hispanic"
"106",8653,"white"
"107",311,"white"
"108",8653,"white"
"109",18598,"white"
"110",30930,"white"
"111",8653,"white"
"112",311,"white"
"113",8653,"white"
"114",311,"white"
"115",6214,"white"
"116",311,"white"
"117",311,"white"
"118",116507,"white"
"119",16009,"black"
"120",40883,"white"
"121",311,"hispanic"
"122",30930,"white"
"123",311,"white"
"124",50825,"white"
"125",43596,"white"
"126",311,"black"
"127",18598,"black"
"128",18598,"white"
"129",38570,"white"
"130",35858,"white"
"131",50825,"white"
"132",311,"black"
"133",13619,"white"
"134",11104,"white"
"135",35858,"white"
"136",311,"hispanic"
"137",311,"white"
"138",8653,"white"
"139",20924,"white"
"140",25901,"white"
"141",311,"white"
"142",28565,"white"
"143",311,"hispanic"
"144",3733,"white"
"145",3733,"white"
"146",11104,"white"
"147",33640,"white"
"148",311,"white"
"149",3733,"white"
"150",6214,"black"
"151",63611,"white"
"152",40883,"white"
"153",311,"white"
"154",6214,"white"
"155",311,"black"
"156",311,"white"
"157",3733,"white"
"158",16009,"white"
"159",33640,"hispanic"
"160",90707,"white"
"161",18598,"black"
"162",8653,"white"
"163",40883,"white"
"164",3733,"black"
"165",18598,"white"
"166",40883,"white"
"167",16009,"hispanic"
"168",311,"white"
"169",311,"black"
"170",16009,"white"
"171",13619,"white"
"172",23687,"white"
"173",25901,"white"
"174",60746,"white"
"175",311,"hispanic"
"176",16009,"white"
"177",25901,"white"
"178",58563,"white"
"179",30930,"white"
"180",11104,"white"
"181",16009,"white"
"182",18598,"white"
"183",6214,"white"
"184",35858,"white"
"185",8653,"black"
"186",11104,"white"
"187",11104,"white"
"188",38570,"white"
"189",20924,"white"
"190",311,"white"
"191",16009,"black"
"192",78610,"white"
"193",16009,"black"
"194",13619,"white"
"195",6214,"white"
"196",25901,"white"
"197",311,"white"
"198",38570,"white"
"199",6214,"black"
"200",50825,"white"
"201",20924,"white"
"202",13619,"white"
"203",11104,"white"
"204",35858,"black"
"205",3733,"white"
"206",3733,"white"
"207",311,"white"
"208",311,"white"
"209",13619,"white"
"210",311,"black"
"211",16009,"white"
"212",80728,"white"
"213",6214,"white"
"214",28565,"white"
"215",13619,"white"
"216",38570,"white"
"217",311,"white"
"218",3733,"white"
"219",38570,"black"
"220",311,"white"
"221",8653,"white"
"222",16009,"white"
"223",8653,"white"
"224",311,"white"
"225",50825,"white"
"226",3733,"hispanic"
"227",6214,"white"
"228",8653,"white"
"229",33640,"white"
"230",8653,"hispanic"
"231",11104,"black"
"232",30930,"white"
"233",33640,"white"
"234",8653,"white"
"235",311,"white"
"236",311,"hispanic"
"237",20924,"white"
"238",6214,"white"
"239",13619,"white"
"240",23687,"white"
"241",311,"black"
"242",311,"hispanic"
"243",6214,"white"
"244",311,"white"
"245",25901,"white"
"246",16009,"white"
"247",20924,"white"
"248",3733,"white"
"249",35858,"hispanic"
"250",11104,"white"
"251",311,"white"
"252",13619,"hispanic"
"253",311,"white"
"254",28565,"white"
"255",20924,"white"
"256",311,"white"
"257",11104,"white"
"258",45822,"black"
"259",311,"white"
"260",11104,"white"
"261",18598,"white"
"262",45822,"white"
"263",3733,"hispanic"
"264",16009,"hispanic"
"265",311,"hispanic"
"266",6214,"hispanic"
"267",11104,"white"
"268",68665,"white"
"269",311,"white"
"270",8653,"white"
"271",311,"white"
"272",38570,"white"
"273",93660,"white"
"274",311,"white"
"275",70844,"white"
"276",116507,"black"
"277",11104,"white"
"278",90707,"black"
"279",3733,"white"
"280",13619,"white"
"281",25901,"white"
"282",23687,"white"
"283",33640,"white"
"284",6214,"white"
"285",23687,"white"
"286",311,"hispanic"
"287",8653,"white"
"288",8653,"black"
"289",3733,"hispanic"
"290",45822,"white"
"291",16009,"white"
"292",311,"white"
"293",35858,"black"
"294",35858,"hispanic"
"295",8653,"white"
"296",13619,"white"
"297",8653,"white"
"298",18598,"white"
"299",311,"white"
"300",23687,"white"
"301",8653,"white"
"302",11104,"white"
"303",23687,"white"
"304",23687,"black"
"305",311,"black"
"306",11104,"white"
"307",23687,"white"
"308",311,"hispanic"
"309",45822,"white"
"310",6214,"white"
"311",11104,"white"
"312",16009,"white"
"313",6214,"white"
"314",30930,"white"
"315",53654,"hispanic"
"316",18598,"white"
"317",48655,"black"
"318",40883,"white"
"319",20924,"white"
"320",311,"white"
"321",13619,"black"
"322",311,"white"
"323",16009,"white"
"324",6214,"white"
"325",30930,"white"
"326",311,"black"
"327",311,"white"
"328",25901,"black"
"329",73671,"white"
"330",8653,"white"
"331",20924,"white"
"332",311,"white"
"333",8653,"white"
"334",20924,"white"
"335",6214,"hispanic"
"336",20924,"white"
"337",6214,"white"
"338",11104,"white"
"339",43596,"white"
"340",311,"hispanic"
"341",6214,"white"
"342",311,"white"
"343",53654,"white"
"344",55966,"white"
"345",38570,"white"
"346",28565,"black"
"347",8653,"white"
"348",311,"hispanic"
"349",311,"white"
"350",16009,"black"
"351",11104,"white"
"352",18598,"black"
"353",311,"white"
"354",8653,"white"
"355",25901,"white"
"356",6214,"white"
"357",20924,"white"
"358",63611,"white"
"359",30930,"white"
"360",8653,"white"
"361",30930,"white"
"362",18598,"hispanic"
"363",80728,"white"
"364",8653,"white"
"365",6214,"white"
"366",25901,"white"
"367",311,"white"
"368",311,"white"
"369",11104,"white"
"370",311,"white"
"371",16009,"white"
"372",6214,"white"
"373",25901,"white"
"374",311,"white"
"375",38570,"white"
"376",23687,"white"
"377",6214,"white"
"378",16009,"white"
"379",68665,"white"
"380",311,"white"
"381",3733,"black"
"382",311,"black"
"383",311,"white"
"384",18598,"white"
"385",43596,"white"
"386",60746,"white"
"387",63611,"white"
"388",33640,"white"
"389",8653,"white"
"390",23687,"white"
"391",311,"white"
"392",6214,"white"
"393",35858,"white"
"394",18598,"hispanic"
"395",11104,"white"
"396",8653,"white"
"397",3733,"white"
"398",20924,"black"
"399",311,"white"
"400",73671,"white"
"401",8653,"white"
"402",18598,"white"
"403",30930,"black"
"404",11104,"white"
"405",311,"white"
"406",18598,"hispanic"
"407",25901,"white"
"408",20924,"white"
"409",11104,"white"
"410",11104,"black"
"411",45822,"white"
"412",311,"white"
"413",33640,"white"
"414",28565,"white"
"415",23687,"white"
"416",13619,"hispanic"
"417",3733,"hispanic"
"418",35858,"black"
"419",6214,"white"
"420",311,"white"
"421",16009,"white"
"422",6214,"white"
"423",6214,"white"
"424",30930,"white"
"425",25901,"white"
"426",311,"hispanic"
"427",6214,"white"
"428",11104,"white"
"429",70844,"white"
"430",311,"white"
"431",311,"white"
"432",6214,"white"
"433",50825,"black"
"434",311,"hispanic"
"435",43596,"white"
"436",311,"white"
"437",65865,"white"
"438",23687,"white"
"439",45822,"white"
"440",8653,"black"
"441",311,"black"
"442",116507,"white"
"443",3733,"white"
"444",311,"white"
"445",11104,"white"
"446",33640,"white"
"447",33640,"white"
"448",311,"white"
"449",13619,"black"
"450",30930,"white"
"451",311,"white"
"452",8653,"white"
"453",16009,"black"
"454",8653,"white"
"455",11104,"white"
"456",30930,"hispanic"
"457",30930,"hispanic"
"458",311,"black"
"459",311,"black"
"460",20924,"white"
"461",311,"black"
"462",33640,"white"
"463",6214,"white"
"464",8653,"black"
"465",18598,"white"
"466",311,"white"
"467",311,"white"
"468",16009,"white"
"469",311,"white"
"470",16009,"white"
"471",40883,"white"
"472",6214,"white"
"473",38570,"white"
"474",311,"white"
"475",6214,"white"
"476",18598,"white"
"477",13619,"white"
"478",60746,"white"
"479",30930,"white"
"480",311,"white"
"481",6214,"black"
"482",3733,"white"
"483",43596,"black"
"484",11104,"white"
"485",85977,"black"
"486",3733,"white"
"487",23687,"white"
"488",30930,"white"
"489",8653,"white"
"490",20924,"white"
"491",55966,"white"
"492",23687,"white"
"493",311,"white"
"494",13619,"white"
"495",16009,"black"
"496",23687,"white"
"497",25901,"white"
"498",18598,"white"
"499",116507,"white"
"500",20924,"white"
"501",18598,"black"
"502",33640,"hispanic"
"503",20924,"white"
"504",20924,"white"
"505",35858,"white"
"506",311,"black"
"507",311,"white"
"508",50825,"black"
"509",53654,"white"
"510",70844,"white"
"511",40883,"white"
"512",55966,"white"
"513",3733,"white"
"514",8653,"hispanic"
"515",20924,"white"
"516",311,"white"
"517",35858,"white"
"518",116507,"white"
"519",35858,"white"
"520",311,"white"
"521",23687,"white"
"522",30930,"white"
"523",25901,"white"
"524",167577,"white"
"525",6214,"white"
"526",311,"white"
"527",311,"hispanic"
"528",30930,"white"
"529",8653,"white"
"530",78610,"hispanic"
"531",58563,"black"
"532",30930,"white"
"533",311,"hispanic"
"534",23687,"white"
"535",311,"white"
"536",311,"white"
"537",30930,"white"
"538",30930,"white"
"539",8653,"white"
"540",30930,"white"
"541",311,"white"
"542",3733,"white"
"543",38570,"white"
"544",18598,"white"
"545",30930,"hispanic"
"546",11104,"white"
"547",25901,"white"
"548",3733,"black"
"549",23687,"black"
"550",311,"black"
"551",11104,"black"
"552",40883,"white"
"553",18598,"white"
"554",53654,"white"
"555",6214,"hispanic"
"556",6214,"white"
"557",16009,"hispanic"
"558",28565,"white"
"559",311,"hispanic"
"560",6214,"white"
"561",18598,"white"
"562",311,"white"
"563",13619,"white"
"564",311,"white"
"565",40883,"white"
"566",3733,"black"
"567",311,"white"
"568",30930,"black"
"569",311,"white"
"570",28565,"black"
"571",25901,"black"
"572",48655,"black"
"573",311,"white"
"574",311,"black"
"575",28565,"black"
"576",33640,"white"
"577",58563,"white"
"578",38570,"white"
"579",215068,"white"
"580",6214,"white"
"581",13619,"white"
"582",11104,"white"
"583",3733,"hispanic"
"584",43596,"white"
"585",65865,"white"
"586",11104,"hispanic"
"587",11104,"white"
"588",311,"black"
"589",311,"white"
"590",45822,"white"
"591",25901,"white"
"592",11104,"white"
"593",35858,"white"
"594",11104,"white"
"595",16009,"white"
"596",6214,"white"
"597",3733,"hispanic"
"598",16009,"white"
"599",8653,"white"
"600",11104,"hispanic"
"601",650512,"white"
"602",311,"white"
"603",28565,"white"
"604",6214,"white"
"605",11104,"white"
"606",23687,"white"
"607",8653,"white"
"608",311,"white"
"609",25901,"white"
"610",8653,"white"
"611",13619,"white"
"612",311,"white"
"613",75810,"black"
"614",23687,"white"
"615",16009,"white"
"616",311,"hispanic"
"617",8653,"white"
"618",11104,"white"
"619",30930,"black"
"620",38570,"white"
"621",6214,"white"
"622",116507,"white"
"623",6214,"white"
"624",11104,"white"
"625",23687,"white"
"626",16009,"white"
"627",65865,"white"
"628",6214,"white"
"629",16009,"white"
"630",3733,"white"
"631",311,"hispanic"
"632",311,"white"
"633",30930,"white"
"634",311,"white"
"635",75810,"white"
"636",13619,"black"
"637",28565,"white"
"638",30930,"white"
"639",311,"black"
"640",13619,"white"
"641",83562,"white"
"642",80728,"white"
"643",40883,"white"
"644",16009,"white"
"645",18598,"hispanic"
"646",11104,"black"
"647",13619,"black"
"648",11104,"white"
"649",38570,"white"
"650",311,"hispanic"
"651",8653,"black"
"652",311,"hispanic"
"653",40883,"white"
"654",43596,"white"
"655",60746,"white"
"656",311,"white"
"657",8653,"white"
"658",63611,"white"
"659",68665,"white"
"660",8653,"white"
"661",13619,"white"
"662",38570,"white"
"663",25901,"white"
"664",13619,"black"
"665",11104,"hispanic"
"666",311,"white"
"667",311,"white"
"668",45822,"white"
"669",30930,"white"
"670",311,"white"
"671",3733,"white"
"672",20924,"white"
"673",33640,"white"
"674",85977,"white"
"675",60746,"white"
"676",3733,"white"
"677",68665,"white"
"678",311,"white"
"679",311,"white"
"680",16009,"white"
"681",311,"white"
"682",35858,"white"
"683",311,"white"
"684",6214,"white"
"685",20924,"white"
"686",20924,"white"
"687",63611,"white"
"688",8653,"white"
"689",311,"white"
"690",16009,"white"
"691",35858,"white"
"692",311,"white"
"693",38570,"black"
"694",16009,"white"
"695",18598,"white"
"696",13619,"black"
"697",8653,"black"
"698",50825,"white"
"699",311,"white"
"700",6214,"white"
"701",16009,"white"
"702",68665,"hispanic"
"703",58563,"white"
"704",35858,"white"
"705",11104,"hispanic"
"706",55966,"white"
"707",40883,"white"
"708",311,"white"
"709",70844,"white"
"710",6214,"white"
"711",8653,"black"
"712",40883,"white"
"713",8653,"white"
"714",311,"white"
"715",68665,"hispanic"
"716",18598,"white"
"717",35858,"white"
"718",311,"hispanic"
"719",13619,"white"
"720",3733,"white"
"721",311,"white"
"722",311,"white"
"723",311,"white"
"724",16009,"white"
"725",28565,"white"
"726",23687,"black"
"727",70844,"hispanic"
"728",311,"white"
"729",20924,"hispanic"
"730",3733,"white"
"731",18598,"white"
"732",11104,"white"
"733",311,"black"
"734",13619,"white"
"735",3733,"white"
"736",20924,"white"
"737",25901,"white"
"738",6214,"white"
"739",20924,"black"
"740",311,"hispanic"
"741",116507,"white"
"742",73671,"white"
"743",50825,"hispanic"
"744",13619,"white"
"745",3733,"white"
"746",311,"white"
"747",311,"white"
"748",311,"white"
"749",18598,"white"
"750",18598,"white"
"751",16009,"white"
"752",16009,"white"
"753",13619,"black"
"754",11104,"black"
"755",3733,"white"
"756",3733,"white"
"757",85977,"white"
"758",311,"black"
"759",311,"white"
"760",311,"white"
"761",70844,"black"
"762",16009,"white"
"763",311,"white"
"764",53654,"white"
"765",311,"white"
"766",11104,"white"
"767",58563,"white"
"768",6214,"hispanic"
"769",35858,"black"
"770",20924,"white"
"771",68665,"white"
"772",23687,"white"
"773",18598,"white"
"774",25901,"black"
"775",8653,"white"
"776",11104,"white"
"777",20924,"white"
"778",167577,"white"
"779",311,"white"
"780",311,"white"
"781",43596,"white"
"782",6214,"white"
"783",311,"white"
"784",23687,"white"
"785",6214,"white"
"786",311,"white"
"787",18598,"white"
"788",8653,"white"
"789",311,"white"
"790",48655,"white"
"791",116507,"white"
"792",311,"hispanic"
"793",311,"white"
"794",25901,"black"
"795",20924,"white"
"796",311,"white"
"797",33640,"white"
"798",30930,"white"
"799",50825,"white"
"800",3733,"white"
"801",90707,"white"
"802",68665,"white"
"803",38570,"white"
"804",6214,"white"
"805",311,"hispanic"
"806",65865,"hispanic"
"807",3733,"white"
"808",11104,"white"
"809",6214,"white"
"810",6214,"black"
"811",311,"white"
"812",8653,"white"
"813",8653,"white"
"814",18598,"white"
"815",13619,"white"
"816",8653,"white"
"817",70844,"white"
"818",20924,"white"
"819",6214,"white"
"820",3733,"black"
"821",40883,"white"
"822",16009,"white"
"823",311,"white"
"824",311,"white"
"825",8653,"white"
"826",53654,"white"
"827",68665,"black"
"828",23687,"white"
"829",116507,"white"
"830",16009,"white"
"831",6214,"white"
"832",8653,"white"
"833",311,"black"
"834",45822,"white"
"835",33640,"black"
"836",16009,"white"
"837",6214,"white"
"838",311,"white"
"839",311,"white"
"840",311,"white"
"841",18598,"black"
"842",311,"white"
"843",23687,"black"
"844",3733,"black"
"845",3733,"white"
"846",3733,"white"
"847",13619,"white"
"848",30930,"hispanic"
"849",311,"white"
"850",311,"white"
"851",65865,"white"
"852",8653,"white"
"853",11104,"white"
"854",23687,"white"
"855",8653,"black"
"856",20924,"white"
"857",40883,"white"
"858",311,"white"
"859",16009,"white"
"860",20924,"hispanic"
"861",8653,"hispanic"
"862",6214,"hispanic"
"863",28565,"black"
"864",11104,"white"
"865",48655,"white"
"866",311,"white"
"867",20924,"white"
"868",311,"white"
"869",23687,"white"
"870",16009,"white"
"871",16009,"white"
"872",3733,"white"
"873",20924,"white"
"874",8653,"white"
"875",18598,"white"
"876",58563,"white"
"877",11104,"white"
"878",3733,"white"
"879",6214,"white"
"880",40883,"white"
"881",311,"hispanic"
"882",20924,"white"
"883",25901,"black"
"884",35858,"white"
"885",11104,"hispanic"
"886",11104,"white"
"887",3733,"white"
"888",11104,"hispanic"
"889",6214,"white"
"890",3733,"white"
"891",45822,"white"
"892",13619,"white"
"893",55966,"white"
"894",6214,"white"
"895",8653,"white"
"896",50825,"white"
"897",20924,"white"
"898",8653,"white"
"899",311,"white"
"900",8653,"black"
"901",3733,"white"
"902",311,"white"
"903",11104,"white"
"904",6214,"white"
"905",311,"white"
"906",311,"white"
"907",311,"white"
"908",25901,"white"
"909",30930,"white"
"910",6214,"white"
"911",311,"hispanic"
"912",311,"white"
"913",28565,"white"
"914",311,"black"
"915",65865,"hispanic"
"916",11104,"black"
"917",16009,"white"
"918",38570,"white"
"919",8653,"white"
"920",50825,"white"
"921",11104,"white"
"922",311,"white"
"923",20924,"white"
"924",13619,"white"
"925",8653,"black"
"926",13619,"white"
"927",311,"white"
"928",11104,"white"
"929",11104,"white"
"930",13619,"white"
"931",38570,"white"
"932",23687,"white"
"933",311,"white"
"934",20924,"white"
"935",35858,"white"
"936",6214,"white"
"937",11104,"white"
"938",6214,"white"
"939",311,"white"
"940",3733,"hispanic"
"941",311,"white"
"942",6214,"white"
"943",311,"white"
"944",16009,"white"
"945",20924,"white"
"946",8653,"white"
"947",311,"white"
"948",116507,"white"
"949",50825,"white"
"950",11104,"white"
"951",23687,"white"
"952",40883,"white"
"953",11104,"hispanic"
"954",6214,"white"
"955",13619,"white"
"956",8653,"black"
"957",35858,"white"
"958",3733,"white"
"959",18598,"white"
"960",35858,"white"
"961",11104,"hispanic"
"962",16009,"black"
"963",33640,"black"
"964",43596,"white"
"965",311,"black"
"966",6214,"hispanic"
"967",6214,"white"
"968",50825,"white"
"969",311,"white"
"970",8653,"white"
"971",6214,"white"
"972",28565,"white"
"973",6214,"white"
"974",13619,"white"
"975",30930,"white"
"976",6214,"white"
"977",6214,"white"
"978",11104,"white"
"979",311,"white"
"980",311,"black"
"981",18598,"white"
"982",20924,"white"
"983",3733,"white"
"984",18598,"white"
"985",8653,"white"
"986",18598,"white"
"987",20924,"black"
"988",35858,"white"
"989",6214,"white"
"990",23687,"white"
"991",65865,"white"
"992",35858,"black"
"993",311,"white"
"994",11104,"white"
"995",311,"hispanic"
"996",23687,"white"
"997",20924,"hispanic"
"998",13619,"white"
"999",6214,"white"
"1000",35858,"white"
